image,rule_group,whiteness,edge,color,horizontal,texture
E:\RC11\term 2\draft\3.1\G1_structural_design\1e076b5449.jpg,1,0.898766637,0.102623731,0.001954577,0.487290382,0.000731568
E:\RC11\term 2\draft\3.1\G1_structural_design\206895f5d3.jpg,1,0.868719161,0.066684037,0.000736607,0.500290453,0.000679106
E:\RC11\term 2\draft\3.1\G1_structural_design\217fd853c3.jpg,1,0.857733727,0.09500888,0.004832323,0.503346026,0.002459596
E:\RC11\term 2\draft\3.1\G1_structural_design\21ab61ae37.jpg,1,0.77657181,0.127038568,0.005520081,0.503997684,0.002975171
E:\RC11\term 2\draft\3.1\G1_structural_design\229787505b.jpg,1,0.780226469,0.247994483,0.004220701,0.496026725,0.012433344
E:\RC11\term 2\draft\3.1\G1_structural_design\22c3ba16f2.jpg,1,0.873639464,0.097818218,0.008160587,0.505540431,0.000898899
E:\RC11\term 2\draft\3.1\G1_structural_design\2306b3ff76.jpg,1,0.872674167,0.108547315,0.005074541,0.533767462,0.003015478
E:\RC11\term 2\draft\3.1\G1_structural_design\230ea6514b.jpg,1,0.652120888,0.138176456,0.029451773,0.502600491,0.002363933
E:\RC11\term 2\draft\3.1\G1_structural_design\2457319360.jpg,1,0.76366508,0.248177558,0.004509578,0.505787134,0.011148337
E:\RC11\term 2\draft\3.1\G1_structural_design\24c2c2a0ee.jpg,1,0.866335988,0.103032179,0.001894981,0.507164061,0.001431244
E:\RC11\term 2\draft\3.1\G1_structural_design\24c9e4c1f0.jpg,1,0.895446599,0.06778843,0.003463293,0.508636713,0.000678858
E:\RC11\term 2\draft\3.1\G1_structural_design\252cc10f2e.jpg,1,0.6666556,0.157899544,3.42E-16,0.432571203,0.005461302
E:\RC11\term 2\draft\3.1\G1_structural_design\261481c321.jpg,1,0.837136805,0.111874074,0.002101603,0.522057533,0.003234276
E:\RC11\term 2\draft\3.1\G1_structural_design\285e9b61cf.jpg,1,0.907411754,0.069600388,0.002169309,0.471400172,0.001105824
E:\RC11\term 2\draft\3.1\G1_structural_design\299d397baa.jpg,1,0.729094386,0.204589128,0.00700389,0.494582266,0.006514226
E:\RC11\term 2\draft\3.1\G1_structural_design\2a00eba79f.jpg,1,0.870529532,0.115223743,0.002733857,0.52256161,0.001554016
E:\RC11\term 2\draft\3.1\G1_structural_design\2ab5fc572f.jpg,1,0.902831912,0.093259759,0.003900645,0.50719583,0.000823335
E:\RC11\term 2\draft\3.1\G1_structural_design\2e39f989da.jpg,1,0.864256024,0.182118446,0.003640077,0.452759683,0.002986966
E:\RC11\term 2\draft\3.1\G1_structural_design\2e3faf0225.jpg,1,0.82650578,0.159566045,0.001358978,0.52382791,0.002592009
E:\RC11\term 2\draft\3.1\G1_structural_design\2e42ccec21.jpg,1,0.737414479,0.127942204,0.011031868,0.495500326,0.003826984
E:\RC11\term 2\draft\3.1\G1_structural_design\2e6d5d3ee0.jpg,1,0.868182957,0.107504413,0.001446953,0.503245711,0.002602927
E:\RC11\term 2\draft\3.1\G1_structural_design\2ef6de5972.jpg,1,0.831664622,0.147004828,0.004501276,0.518167853,0.003743596
E:\RC11\term 2\draft\3.1\G1_structural_design\2f143abefa.jpg,1,0.868183494,0.121177644,0.003702647,0.510160089,0.001220171
E:\RC11\term 2\draft\3.1\G1_structural_design\2fc770bdc6.jpg,1,0.841283977,0.097312234,0.00561642,0.485957414,0.000981158
E:\RC11\term 2\draft\3.1\G1_structural_design\302cfed908.jpg,1,0.824795008,0.16276665,0.002344184,0.508275509,0.003896655
